sku_id,week_start,units_sold,forecast_naive
SKU00001,2024-01-01,83,
SKU00001,2024-01-08,24,
SKU00001,2024-01-15,30,
SKU00001,2024-01-22,58,
SKU00001,2024-01-29,10,
SKU00001,2024-02-05,60,
SKU00001,2024-02-12,33,
SKU00001,2024-02-19,30,
SKU00001,2024-02-26,59,
SKU00001,2024-03-04,37,
SKU00001,2024-03-11,67,
SKU00001,2024-03-18,60,
SKU00001,2024-03-25,64,
SKU00001,2024-04-01,79,
SKU00001,2024-04-08,58,
SKU00001,2024-04-15,77,
SKU00001,2024-04-22,53,
SKU00001,2024-04-29,61,
SKU00001,2024-05-06,75,
SKU00001,2024-05-13,52,
SKU00001,2024-05-20,59,
SKU00001,2024-05-27,76,
SKU00001,2024-06-03,68,
SKU00001,2024-06-10,53,
SKU00001,2024-06-17,60,
SKU00001,2024-06-24,64,
SKU00001,2024-07-01,44,
SKU00001,2024-07-08,54,
SKU00001,2024-07-15,42,
SKU00001,2024-07-22,61,
SKU00001,2024-07-29,88,
SKU00001,2024-08-05,52,
SKU00001,2024-08-12,51,
SKU00001,2024-08-19,87,
SKU00001,2024-08-26,33,
SKU00001,2024-09-02,59,
SKU00001,2024-09-09,39,
SKU00001,2024-09-16,59,
SKU00001,2024-09-23,25,
SKU00001,2024-09-30,97,
SKU00001,2024-10-07,71,
SKU00001,2024-10-14,80,
SKU00001,2024-10-21,25,
SKU00001,2024-10-28,43,
SKU00001,2024-11-04,86,
SKU00001,2024-11-11,61,
SKU00001,2024-11-18,108,
SKU00001,2024-11-25,72,
SKU00001,2024-12-02,63,
SKU00001,2024-12-09,102,
SKU00001,2024-12-16,124,
SKU00001,2024-12-23,82,
SKU00001,2024-12-30,76,83.0
SKU00001,2025-01-06,43,24.0
SKU00001,2025-01-13,53,30.0
SKU00001,2025-01-20,70,58.0
SKU00001,2025-01-27,51,10.0
SKU00001,2025-02-03,41,60.0
SKU00001,2025-02-10,70,33.0
SKU00001,2025-02-17,45,30.0
SKU00001,2025-02-24,56,59.0
SKU00001,2025-03-03,73,37.0
SKU00001,2025-03-10,46,67.0
SKU00001,2025-03-17,53,60.0
SKU00001,2025-03-24,48,64.0
SKU00001,2025-03-31,47,79.0
SKU00001,2025-04-07,26,58.0
SKU00001,2025-04-14,53,77.0
