sku_id,stock_on_hand,reorder_point,safety_stock,n_stores_carrying,last_restock_date,category,subcategory
SKU00001,215,100,33,1,2025-12-22,Home & Kitchen,Cookware
SKU00002,0,1582,573,25,2025-10-06,Dairy & Bakery,Bread
SKU00003,414,250,85,4,2025-12-13,Stationery & Office,Notebooks
SKU00004,148,99,35,1,2025-12-03,Dairy & Bakery,Eggs
SKU00005,411,284,104,5,2025-12-26,Home Care,Pest Control
SKU00006,621,324,130,5,2025-12-29,Health & Wellness,OTC Medicine
SKU00007,87,163,54,2,2025-12-05,Beverages,Energy Drinks
SKU00009,85,154,39,2,2025-12-29,Frozen Foods,Frozen Vegetables
SKU00011,3,35,17,1,2025-11-11,Stationery & Office,Writing Instruments
SKU00012,7156,1551,546,27,2025-09-01,Health & Wellness,Vitamins & Supplements
SKU00013,314,145,55,2,2025-12-17,Personal Care,Hair Care
SKU00014,33,76,17,1,2025-11-28,Personal Care,Men's Grooming
SKU00015,79,28,12,1,2025-11-05,Home Care,Dishwashing
SKU00016,106,56,22,2,2025-11-24,Apparel & Footwear,Men's Wear
SKU00017,77,55,19,2,2025-12-15,Dairy & Bakery,Eggs
SKU00018,148,188,55,3,2025-12-20,Snacks & Confectionery,Chips & Crisps
SKU00019,120,86,40,1,2025-11-25,Personal Care,Hair Care
SKU00020,0,1358,498,23,2025-10-10,Grocery,Rice & Grains
SKU00021,252,111,43,2,2025-12-22,Beverages,Tea
SKU00023,20,39,13,1,2025-11-05,Apparel & Footwear,Footwear
SKU00024,6453,1467,490,25,2025-08-29,Electronics & Accessories,Batteries
SKU00025,213,169,57,3,2025-12-30,Electronics & Accessories,Mobile Accessories
SKU00026,81,51,24,1,2025-11-14,Home Care,Laundry
SKU00027,204,113,39,2,2025-11-21,Electronics & Accessories,Mobile Accessories
SKU00028,371,247,76,4,2025-12-14,Beverages,Bottled Water
SKU00030,82,105,44,2,2025-12-19,Frozen Foods,Frozen Meat
SKU00031,508,270,76,5,2025-12-29,Stationery & Office,Office Supplies
SKU00032,5246,1272,440,20,2025-12-10,Beverages,Coffee
SKU00033,136,64,18,1,2025-12-24,Home Care,Air Fresheners
SKU00034,136,113,49,2,2025-12-24,Electronics & Accessories,Small Appliances
SKU00035,594,298,113,6,2025-12-28,Home Care,Air Fresheners
SKU00036,134,85,25,1,2025-11-25,Home Care,Air Fresheners
SKU00037,334,143,61,2,2025-12-23,Beverages,Energy Drinks
SKU00038,18,49,24,1,2025-11-30,Personal Care,Skin Care
SKU00039,290,179,56,3,2025-11-21,Snacks & Confectionery,Candy
SKU00040,101,84,35,1,2025-11-04,Dairy & Bakery,Cheese
SKU00041,123,115,46,2,2025-12-14,Electronics & Accessories,Small Appliances
SKU00043,107,68,26,1,2025-12-23,Health & Wellness,First Aid
SKU00044,316,135,50,3,2025-12-12,Personal Care,Skin Care
SKU00045,90,109,40,2,2025-11-27,Stationery & Office,Writing Instruments
SKU00046,324,244,97,4,2025-11-30,Beverages,Bottled Water
SKU00047,291,160,67,4,2025-12-20,Personal Care,Men's Grooming
SKU00048,332,173,82,2,2025-11-18,Beverages,Energy Drinks
SKU00049,50,35,7,1,2025-12-29,Personal Care,Oral Care
SKU00050,48,1066,370,18,2025-12-04,Stationery & Office,Office Supplies
SKU00051,123,71,24,1,2025-11-25,Personal Care,Oral Care
SKU00052,5399,1299,466,22,2025-11-12,Home & Kitchen,Storage & Containers
SKU00053,60,27,9,1,2025-12-06,Home Care,Pest Control
SKU00056,113,189,59,3,2025-12-20,Dairy & Bakery,Butter & Ghee
SKU00057,30,31,15,1,2025-12-01,Apparel & Footwear,Kids Wear
SKU00058,149,93,29,1,2025-12-21,Stationery & Office,Office Supplies
SKU00059,601,233,53,3,2025-12-26,Dairy & Bakery,Butter & Ghee
SKU00060,253,148,49,2,2025-12-22,Apparel & Footwear,Men's Wear
SKU00061,296,177,68,3,2025-12-27,Dairy & Bakery,Milk
SKU00062,228,1221,427,20,2025-11-18,Electronics & Accessories,Mobile Accessories
SKU00063,84,82,39,1,2025-12-18,Apparel & Footwear,Women's Wear
SKU00064,409,269,81,3,2025-12-31,Home Care,Air Fresheners
SKU00065,215,76,33,1,2025-11-27,Electronics & Accessories,Small Appliances
SKU00066,5315,1296,457,25,2025-12-20,Dairy & Bakery,Cheese
SKU00067,204,140,55,2,2025-11-13,Grocery,Spices & Seasoning
SKU00068,8,99,39,1,2025-12-07,Beverages,Tea
SKU00069,7735,1614,563,27,2025-09-02,Home Care,Laundry
SKU00070,378,193,67,4,2025-12-26,Home & Kitchen,Storage & Containers
SKU00071,285,142,42,2,2025-11-28,Beverages,Juices
SKU00073,126,60,22,1,2025-11-13,Electronics & Accessories,Small Appliances
SKU00074,88,74,22,2,2025-12-11,Snacks & Confectionery,Candy
SKU00075,7071,1707,614,29,2025-11-21,Electronics & Accessories,Batteries
SKU00076,153,138,42,3,2025-12-20,Dairy & Bakery,Butter & Ghee
SKU00077,206,195,56,3,2025-12-14,Apparel & Footwear,Women's Wear
SKU00078,69,30,14,1,2025-11-15,Frozen Foods,Ready Meals
SKU00079,138,1142,378,18,2025-12-30,Frozen Foods,Frozen Vegetables
